name,intro,url,opentype,englishName,definition,explanation,extend
《破译命运密码》,"人，为什么有各种各样的活法？究竟，是什么力量支配了人一生的命运？你属于哪一种人格？《破译命运密码》以独特的方式解析了二十几种情结的形成奥秘，使每个人都可以获得洞察自我与他人的智慧。
",http:////www.baike.com//wiki//%E3%80%8A%E7%A0%B4%E8%AF%91%E5%91%BD%E8%BF%90%E5%AF%86%E7%A0%81%E3%80%8B,心理学 社会科学 科学 ,,,,
《组织管理心理学》,"《组织管理心理学》，是指研究某一群体、一个企业或一个学校等组织管理工作中人的因素等方面的心理问题。它涉及领导者与被领导者的心理素质以及二者之间的关系的协调问题。
",http:////www.baike.com//wiki//%E3%80%8A%E7%BB%84%E7%BB%87%E7%AE%A1%E7%90%86%E5%BF%83%E7%90%86%E5%AD%A6%E3%80%8B,心理学 术语 理论 社会科学 科学 ,,,,
《经济心理学》,"经济心理学雏发于本世纪50年代初期，因一批“具有良好心理学素养的经济学家“和“具有良好经济学头脑的心理学家“共同倡导而形成。
",http:////www.baike.com//wiki//%E3%80%8A%E7%BB%8F%E6%B5%8E%E5%BF%83%E7%90%86%E5%AD%A6%E3%80%8B,心理学 术语 理论 社会科学 科学 ,,,,
《翻过那堵墙》,"《翻过那堵墙》面对弱肉强食的残酷世界，总有让人厌倦的时候，有让人望而生畏的时候，有失意落魄的时候。此时更要牢记：世上没有翻不过去的高墙。在这个充满机会和挑战的社会里，只要努力就有希望。《翻过那堵墙》正是关注于人怎样才能成功、成功的路径等一系列的问题，通过对一些生活琐事和人们心理活动以及在工作和其他方面所遇到困难、挫折等的分析，用一篇篇不是很长的文章向我们说明生活的意义，向我们表明走向成功其实很简单。
",http:////www.baike.com//wiki//%E3%80%8A%E7%BF%BB%E8%BF%87%E9%82%A3%E5%A0%B5%E5%A2%99%E3%80%8B,心理学 社会科学 科学 成功心理学 ,,,,
《自信比金子还宝贵》,"“你活在别人的评价和看法中吗？““你对自身劣势带来的困扰无法破解？““你被挥之不去的自卑感弄得痛苦不堪？““你在实现谁的价值？“也许你正在这些困惑中挣扎，也许你偶尔会遇到这样的心里冲突。本书不仅让你找到优秀而强大的自己，更令你重生般自如破解困惑，体味成长的魅力。 
本书语言简约易读，专题直中要害，逻辑清晰，内容与读者需求的贴合性使之具有过目难忘的力量。
",http:////www.baike.com//wiki//%E3%80%8A%E8%87%AA%E4%BF%A1%E6%AF%94%E9%87%91%E5%AD%90%E8%BF%98%E5%AE%9D%E8%B4%B5%E3%80%8B,心理学 成功心理 职场心理 自信 ,,,,
《解构企业》,"《解构企业》，导演：马克·阿克巴，Mark Achbar，珍妮佛·阿巴特，Jennifer Abbott，主演：Jane Akre，Peter Drucker，Noam Chomsky，Chris Barrett，Maude Barlow，Ray Anderson，2003年9月10日上映。影片讲述150年前，企业还是相对不重要的机构，今日却无所不在。本纪录片检视了现代企业的本质、演变、冲击和可能未来。
",http:////www.baike.com//wiki//%E3%80%8A%E8%A7%A3%E6%9E%84%E4%BC%81%E4%B8%9A%E3%80%8B,导演 影视 心理 心理学 电影 纪录片 艺术 ,,,,
《走出语言的迷宫》,"在国内为数不多的关于维特根斯坦的研究专著中 ,王晓升教授的《走出语言的迷宫———后期维特斯坦哲学概述》(社会科学文献出版社 ,1 999年版 )是极具特色的一部。这是一部在与巨人的倾心交流中完成的著作。倾心交流所遵从的基本逻辑就是哲学解释学意义上的“问答逻辑“。这种逻辑既不同于无所交流而盲目“听信“的逻辑 ,又不同于无所倾听而简单“批判“的逻辑 ,还不同于根据不足却轻率“比较“的逻辑 ,而是一种真诚和开放的逻辑。下面我们就来看这种“逻辑“在这部著作中是怎样体现出来的。一、立足原著 ,条分缕析思想的真正交流基于真诚的倾听 ,但倾听不同于“道听途说“ ,而必须聆听与之交流的对方直接发出的声音。完全立足于维特根斯坦的原著(尽管是以其英译本为主 )正是《走出语言的迷宫》的作者始终贯彻的一个原则。倾听也不同于有所过滤和有所选择地只是对只言片语的听 ,而是必须让对方“把话说完“。只有让对方“把话说完“ ,我们才有可能在一种整体性的语境 (ｃｏｎｔｅｘｔ)中切实地听明白他所说出的细节 ,大家知道 ,这正是路德和他的追随者为《圣经》的理解确立的一条基本的神学解释学原则。
",http:////www.baike.com//wiki//%E3%80%8A%E8%B5%B0%E5%87%BA%E8%AF%AD%E8%A8%80%E7%9A%84%E8%BF%B7%E5%AE%AB%E3%80%8B,心理学 语言 技巧 ,,,,
《转逆境为喜悦》,"《转逆境为喜悦》--由胡因夢翻译编著，由心靈工坊出版社发行于2002年6月，全书共204页。
",http:////www.baike.com//wiki//%E3%80%8A%E8%BD%AC%E9%80%86%E5%A2%83%E4%B8%BA%E5%96%9C%E6%82%A6%E3%80%8B,佛 心理学 社会科学 科学 修行 心灵 新时代 ,,,,
一元论,"一元论（Monism）是认为世界只有一个本原的马原哲学学说，是本体论的分支。唯物主义的一元论肯定世界的本原是物质，唯心主义的一元论肯定世界的本原是精神。 马克思主义哲学[哲学分支]认为，在唯物主义的一元论中，只有唯物辩证法的一元论才科学地论证和全面地贯彻了物质是世界的本原的观点。
",http:////www.baike.com//wiki//%E4%B8%80%E5%85%83%E8%AE%BA,哲学术语 心理学 心理学名词 社会科学 科学 自然辩证法名词 不二论 ,,,,
一月忧郁,"“一月忧郁“指人们每天在家待的时间长达15个小时，引发了“幽居病“。造成幽居病的现象，是由于天气寒冷，加之圣诞+新年长假期间长时间窝在室内无所事事，昏昏欲睡，有些人迈入新年不但没有“新气象“，反而受到“一月忧郁“的困扰。
",http:////www.baike.com//wiki//%E4%B8%80%E6%9C%88%E5%BF%A7%E9%83%81,IN词 心理学 社会学 ,,,,
一致性理论,"人有一种驱力促使自己对客体产生一致的认知和行为，当认知失谐时，人们会出现不适感，进而试图去减少它，减少失谐的一个机制：有选择的寻求支持信息或避免不一致的信息。
探讨和预测[汉语词语]人在接受了对有关事物的新的信息后会调整原有态度的社会心理学理论。由C.E.奥斯古德和P.H.坦南包姆于1955年提出。
人们对周围的人和事物有一定的评价，具有某种态度倾向。对不同事物的评价可以是相互独立的。例如,某人非常喜爱电视上的一个专题节目，也对某种日用商品抱有好感,这两件事本身是相互独立的。如果他碰巧从电视专题节目中看到一些情况是关于那种日用商品的，那么本来相互独立的事件便有了一定的联系。
",http:////www.baike.com//wiki//%E4%B8%80%E8%87%B4%E6%80%A7%E7%90%86%E8%AE%BA,心理学 心理学名词 社会科学 科学 ,,,,
一般迁移,"一般迁移亦称“非特殊迁移“、“普遍迁移“。布鲁纳划分的迁移类型。指原理和态度的迁移。与“特殊迁移“相对。布鲁纳认为，这种迁移从本质上说，一开始不是学习一种技能。
",http:////www.baike.com//wiki//%E4%B8%80%E8%88%AC%E8%BF%81%E7%A7%BB,心理学 ,,,,
三人法则,"三人法则是指有着相同行动的三个人拥有可以改变环境的力量，可以实现对人类精神的操控.。
",http:////www.baike.com//wiki//%E4%B8%89%E4%BA%BA%E6%B3%95%E5%88%99,心理学 社会 社会学 社会问题 ,,,,
三分之一效应,"所谓“三分之一效应“，属于决策中的心理偏差。人生在世，经常要面临各类选择。选择无非有两种：二者择一，或多者择一。二者择一，当然也有难度，但难度不大；而在“多者择一“的决策中，随着选择对象的增多，选择余地的增大，选择难度不但没有缩小，反而也在增多和加大，最后使当事者陷入迷茫。
",http:////www.baike.com//wiki//%E4%B8%89%E5%88%86%E4%B9%8B%E4%B8%80%E6%95%88%E5%BA%94,HOT 心理学 社会 社会科学 科学 ,,,,
三线放松,"此条目暂无内容，欢迎您参与编辑，享受分享知识的乐趣。 <
",http:////www.baike.com//wiki//%E4%B8%89%E7%BA%BF%E6%94%BE%E6%9D%BE,心理学 心理学名词 心理学术语 神经科学 ,,,,
三维,"通常我们说的三维是指在平面二维系中又加入了一个方向向量构成的空间系。三维既是坐标轴的三个轴，即x轴、y轴、z轴，其中x表示左右空间，y表示上下空间，z表示前后空间，这样就形成了人的视觉立体感。
三维是由一维和二维组成的，二维即只存在两个方向的交错，将一个二维和一个一维叠合在一起就得到了三维。
三维具有立体性，但我们俗语常说的前后，左右，上下都只是相对于观察的视点来说。没有绝对的前后，左右，上下。
",http:////www.baike.com//wiki//%E4%B8%89%E7%BB%B4,娱乐 心理学 心理学术语 神经科学 美术 艺术 艺术设计 ,3-dimension,,,
上学恐惧症,"上学恐惧症是指假期过后，许多小孩不想回到学校，还有的对新学期的临近感到极度害怕，出现厌学、抑郁等症状。这是种心理疾病，病因为饮食不当、荧屏伤害、起居无序等。
",http:////www.baike.com//wiki//%E4%B8%8A%E5%AD%A6%E6%81%90%E6%83%A7%E7%97%87,心理学 教育 ,,,,
上差别阈,"应为上差别阈（upper difference threshold）。在测定差别阈限时，要求被试从变异刺激中找出一个在感觉上与标准刺激相等的刺激来，也就是使变异刺激和标准刺激相匹配 。在匹配时，无论变异刺激按渐增或渐减的顺序变化，都有两个转折点：渐增时从感觉到变异刺激比标准刺激稍弱到感觉到二者相等；再从相等到感觉到变异刺激比标准刺激稍强。渐减时从感觉到变异刺激比标准刺激稍强到感觉到两者相等，再从相等到感觉到变异刺激比标准刺激稍弱。感觉到稍强和相等的两个刺激的平均值称为上限，感觉到相等和稍弱的两个刺激量的平均值称为下限。上限减去标准刺激成为上差别阈，标准刺激减去下限成为下差别阈。上差别阈和下差别阈的平均值称为绝对差别阈限，绝对差别阈限和标准刺激之比成为相对差别阈限。
",http:////www.baike.com//wiki//%E4%B8%8A%E5%B7%AE%E5%88%AB%E9%98%88,心理学 心理学术语 神经科学 ,,,,
上海神光心理咨询中心,"上海神光心理咨询中心自成立之日起、就立志于中国心理咨询事业的发展，多年来，在针对各种心理疾病的治疗过程中，为了找到一套行之有效、符合我们中国人的治疗方法，为了让广大的求助者早日走出痛苦，《神光心理咨询中心》成立了以首席心理咨询师彭老师为首的专家小组，对青少年的各种心理问题、成年人的婚恋性以及各种神经性症状进行了详细的研究和攻关。
",http:////www.baike.com//wiki//%E4%B8%8A%E6%B5%B7%E7%A5%9E%E5%85%89%E5%BF%83%E7%90%86%E5%92%A8%E8%AF%A2%E4%B8%AD%E5%BF%83,心理咨询 心理学 心理疾病 心理治疗 ,,,,
下意识,"下意识通俗心理学的一个术语。指知觉意识范围之外的心理活动和心理过程。在通常情况下，下意识往往被用作为无意识的同义词。但是在弗洛伊德的理论中，下意识并不等于无意识，原因在于这样会混淆无意识和潜意识的区别。另外，下意识同样不等于荣格的个人无意识概念，因为在荣格的理论体系中，下意识被用来指个人无意识中更接近于集体无意识的那些部分和方面，而并非指那些更接近于意识的部分和方面。下意识本身也是心理过程，但在一定的时刻，这些过程不受到注意，因为它们是无意识的思想活动中心。下意识是意识活动的副产品，其中没有任何神秘的、不可知的因素。
",http:////www.baike.com//wiki//%E4%B8%8B%E6%84%8F%E8%AF%86,心理 心理学 心理学名词 心理学术语 汉语 社会科学 神经科学 科学 自然辩证法名词 词典 词语 ,,,,
下跪心理学,"在跪拜礼废除100年后的21世纪，下跪的传统仍在继承，它仍频繁地活跃在日常生活中，且并不只事简单的礼节，而是折射出社会各式各样人的心理，而衍生出“下跪心理学“。
",http:////www.baike.com//wiki//%E4%B8%8B%E8%B7%AA%E5%BF%83%E7%90%86%E5%AD%A6,心理学 文化 ,,,,
下限,"下限，一般是指函数的最小值或自变量的最小值，在数学分析中，在给定范围内（相对极值）或函数的整个域[数学词汇]（全局或绝对极值），函数的最大值和最小值被统称为极值（极数）。皮埃尔·费马特（Pierre de Fermat）是第一位提出函数的最大值和最小值的数学家之一。
",http:////www.baike.com//wiki//%E4%B8%8B%E9%99%90,农学名词 基本物理概念 心理学 心理学名词 心理学术语 数学术语 术语 物理学名词 神经科学 科学 科学名词 统计学术语 自然科学 ,lower limit,,,
不值得定律,"最直观的表达为：不值得做的事情，就不值得做好。 这个定律反映出人们的一种心理，一个人如果从事的是一份自认为不值得的事情，往往会持冷嘲热讽、敷衍了事的态度。不仅成功率小，即使成功，也不会觉得有多大的成就感。
",http:////www.baike.com//wiki//%E4%B8%8D%E5%80%BC%E5%BE%97%E5%AE%9A%E5%BE%8B,心理学 心理学效应 法则 生活 社会 管理学定律 管理定律 经济 经济专业术语 经济理论 ,,,,
不安全感,"《不安全感》是草蜢[中国香港歌唱组合]演唱的歌曲，收录于《Grasshopper Bpm》中。
",http:////www.baike.com//wiki//%E4%B8%8D%E5%AE%89%E5%85%A8%E6%84%9F,心理学 儿童心理研究 ,,,,
专制与民主,"把专制与民主这两种不同制度，一起摆入社会科学所有领域进行一番对比研究。
",http:////www.baike.com//wiki//%E4%B8%93%E5%88%B6%E4%B8%8E%E6%B0%91%E4%B8%BB,心理学 政治学 文学作品 社会科学 ,,,,
专门化知觉,"专门化知觉是专项运动对运动员心理要求的一个重要方面，它是运动员在运动实践中经过长期专项训练所形成的一种精细的综合性知觉，能对自身运动和环境线索作出敏锐和精确的识别和觉察。具有综合性、专项性、在所有运动项目中（不含棋类），动觉都是专门化知觉的主要因素的特点。
",http:////www.baike.com//wiki//%E4%B8%93%E9%97%A8%E5%8C%96%E7%9F%A5%E8%A7%89,心理学 心理学名词 心理学术语 社会科学 神经科学 科学 ,,,,
世界预防自杀日,"2003年9月10日被世界卫生组织定为首个“世界预防自杀日“，为了让公众对自杀引起关注，世界卫生组织和国际自杀预防协会呼吁各国政府、预防自杀协会和机构、当地社区、医务工作者以及志愿者们，加入到当天的各项地方性行动中，共同提高公众对自杀问题重要性以及降低自杀率的意识。首个“世界预防自杀日“的口号为“自杀一个都太多“。
",http:////www.baike.com//wiki//%E4%B8%96%E7%95%8C%E9%A2%84%E9%98%B2%E8%87%AA%E6%9D%80%E6%97%A5,世界 国际日 心理 心理学 社会科学 科学 节日 世界日 预防自杀 ,,,,
东方实验室,"东方实验室，是2007年10月成立的一个从事心理文化等有关方面研究的的网站，该网站主要有5名研究员，整体成员年龄不超过30岁，其中三人为学士学位，其他成员均为硕士学位。
",http:////www.baike.com//wiki//%E4%B8%9C%E6%96%B9%E5%AE%9E%E9%AA%8C%E5%AE%A4,心理咨询 心理学 社会科学 科学 心理学研究 心理测量 心理测量设计 研究生创业 ,,,,
个性差异,"每个人在反应客观现实时，都表现出不同的行为特点和方式，这些不同的特点和方式构成了人与人之间的心理上的差异，称为个性差异。
",http:////www.baike.com//wiki//%E4%B8%AA%E6%80%A7%E5%B7%AE%E5%BC%82,专业术语 心理学 教育学 词语解释 ,,,,
中华心理学会,"中华心理学会（英文名：Chinese Psychology Association简写CPA）经中华人民共和国香港特别行政区政府批准，于2007年9月24日依法设定。性质为私营，是中国远程教育集团为广大中国心理网心理学爱好者而专门依法设立的业务名称。本会的主要活动场所为中华心理学会网站。
",http:////www.baike.com//wiki//%E4%B8%AD%E5%8D%8E%E5%BF%83%E7%90%86%E5%AD%A6%E4%BC%9A,学会 心理学 中华 ,,,,
中华心理学网,,http:////www.baike.com//wiki//%E4%B8%AD%E5%8D%8E%E5%BF%83%E7%90%86%E5%AD%A6%E7%BD%91,心理学 ,,,,
中国NLP学院,"中国NLP学院是一个网络学习平台，以推广NLP为主轴的实用心理学为主，包括NLP的主体学问 （NLP专业执行师、NLP高级执行师和NLP导师）、NLP系列应用学问（NLP教练技术、NLP教练式管理、NLP销售心理学、NLP情绪管理、心灵创富、NLP亲子教育、NLP领袖口才等）以及NLP的三个源头学问（催眠治疗、萨提亚、完形治疗）系列，再以九型性格学问做补充。形成了自己完整的实用心理学学习体系。
",http:////www.baike.com//wiki//%E4%B8%AD%E5%9B%BDNLP%E5%AD%A6%E9%99%A2,培训 心理学 文化 流行文化 NLP 教练技术 ,,,,
中国国际积极心理学大会,"此条目暂无内容，欢迎您参与编辑，享受分享知识的乐趣。 <
",http:////www.baike.com//wiki//%E4%B8%AD%E5%9B%BD%E5%9B%BD%E9%99%85%E7%A7%AF%E6%9E%81%E5%BF%83%E7%90%86%E5%AD%A6%E5%A4%A7%E4%BC%9A,会议 心理学 ,,,,
中国心理人才网,"中国心理人才网（51psy）始建于2007年11月，是国内第一家亦是最大的心理学专业人才招聘求职的网络服务平台。截止2012年11月30日，中国心理人才网已注册有36000多心理学专业人才会员，其中心理学硕士、博士、留学生数量超过7000多名，会员覆盖了中国大陆所有省市和港澳台地区以及美国、英国[大不列颠及北爱尔兰联合王国]、法国、德国、澳大利亚、日本、韩国、新加坡、马来西亚等数十个国家。
",http:////www.baike.com//wiki//%E4%B8%AD%E5%9B%BD%E5%BF%83%E7%90%86%E4%BA%BA%E6%89%8D%E7%BD%91,人力资源 心理学 招聘 网站 ,,,,
中国心理学考研网,,http:////www.baike.com//wiki//%E4%B8%AD%E5%9B%BD%E5%BF%83%E7%90%86%E5%AD%A6%E8%80%83%E7%A0%94%E7%BD%91,心理学 教育 考研 ,,,,
中国高校心理在线,"中国高校心理在线是由中南大学学工部和湘雅医学院领导，由学院党委、中南大学心理健康教育中心管理，中国高校第一家免费的大学生心理专业咨询网站。
",http:////www.baike.com//wiki//%E4%B8%AD%E5%9B%BD%E9%AB%98%E6%A0%A1%E5%BF%83%E7%90%86%E5%9C%A8%E7%BA%BF,心理学 社会科学 科学 网站 中南大学 ,,,,
中央控制室,"中央控制室，是指对系统状态进行集中显示和控制的场所。控制台和显示屏是重要构成部分。为使操作人员安全有效地工作和发挥系统的最大潜能，控制室的空间布局、显示与控制的人机界面和控制室环境等的设计应符合工效学的要求。
",http:////www.baike.com//wiki//%E4%B8%AD%E5%A4%AE%E6%8E%A7%E5%88%B6%E5%AE%A4,应用科学 建筑学 心理学 心理学名词 心理学术语 神经科学 科学 能源科学 ,,,,
中性区,"中性区，又称中性区（Neutral Zone 或 Dead Zone），是电气化铁路的无电区间，一般设置于交流电化线路的变电站附近、两交流变电站供电区域的分隔处，或交流与直流供电的交界处。
",http:////www.baike.com//wiki//%E4%B8%AD%E6%80%A7%E5%8C%BA,医学名词 心理学 心理学名词 心理学术语 电工名词 神经科学 铁路运输 ,,,,
临床心理学,"本书对神经质现象、癔病、心理创伤后遗症等因心理因素造成的各种疾病的症状、治疗方法、及心理状态测试方法等临床心理学
",http:////www.baike.com//wiki//%E4%B8%B4%E5%BA%8A%E5%BF%83%E7%90%86%E5%AD%A6,,,,,
临近效应,"两个人能否成为朋友，这与俩人住处的远近有很大关系。这被称为邻近效应。
",http:////www.baike.com//wiki//%E4%B8%B4%E8%BF%91%E6%95%88%E5%BA%94,心理学 效应 ,,,,
临近联想,"联想的一种类型。即由此及彼的事实联想到另外一个事实的联想。
",http:////www.baike.com//wiki//%E4%B8%B4%E8%BF%91%E8%81%94%E6%83%B3,写作 心理学 心理学名词 心理学术语 文化 文学 神经科学 联想 ,,,,
主场优势,"主场优势效应：认为运动队在主场比赛时取胜的几率要高于在客场比赛的取胜率。
",http:////www.baike.com//wiki//%E4%B8%BB%E5%9C%BA%E4%BC%98%E5%8A%BF,心理学 心理学名词 心理学术语 社会科学 神经科学 科学 主场 主场优势 伦敦奥运会主场优势 客场 ,,,,
乐感文化,"“乐感文化“说是李泽厚先生于1985年[年份]春在一次题为《中国的智慧》讲演中提出的，收录在《中国古代思想史论》中，后来在《华夏美学》中又有所发挥，由于氏族宗法血亲传统遗风的强固力量及长期延续，以及农业家庭小生产为基础的社会生活和社会结构的牢固保持，决定了中国文化具有一种“实践理性“或“实用理性“的倾向或特征。它曾被孔子概括在仁学的模式中。后来慢慢由思想理论积淀并转化为心理结构，内容积淀为形式，成为汉民族的一种无意识的集体原型现象。这种由文化转变来的心理结构，被称之为“文化—心理结构“，或人的心理本体。
",http:////www.baike.com//wiki//%E4%B9%90%E6%84%9F%E6%96%87%E5%8C%96,心理学 心理学术语 社会科学 神经科学 科学 ,,,,
乐观者,"乐观者就是，生活的快乐与否，完全决定于个人对人、事、物的看法如何；因为，生活是由思想造成的。如果我们想的都是欢乐的念头，我们就能欢乐；如果我们想的都是悲伤的事情，我们就会悲伤。
吸引力法则就是如此。
",http:////www.baike.com//wiki//%E4%B9%90%E8%A7%82%E8%80%85,健康 心理学 生活 ,,,,
乐队花车效应,"乐队花车效应: 人类经常会有一种倾向，去从事或相信其他多数人从事或相信的东西，就是所谓的“乐队花车效应“。为了不让自己在社会中孤立，所以社会个体常常不经思考就选择与大多数人相同的选择，而这种乐队花车效应，就是乐队花车谬误及乐队花车宣传法的基础。
",http:////www.baike.com//wiki//%E4%B9%90%E9%98%9F%E8%8A%B1%E8%BD%A6%E6%95%88%E5%BA%94,心理学 效应 广告心理学 ,,,,
乐音,,http:////www.baike.com//wiki//%E4%B9%90%E9%9F%B3,,,,,
九型人格与智慧人生工作坊,"济南百川智源是山东九型人格的研究和推广中心。
",http:////www.baike.com//wiki//%E4%B9%9D%E5%9E%8B%E4%BA%BA%E6%A0%BC%E4%B8%8E%E6%99%BA%E6%85%A7%E4%BA%BA%E7%94%9F%E5%B7%A5%E4%BD%9C%E5%9D%8A,心理学 九型人格 山东九型人格 百川智源 ,,,,
九型人格基础班,,http:////www.baike.com//wiki//%E4%B9%9D%E5%9E%8B%E4%BA%BA%E6%A0%BC%E5%9F%BA%E7%A1%80%E7%8F%AD,心理学 九型人格 山东九型人格 百川智源 ,,,,
九型人格工作坊,"九型人格学（Enneagram）是一个有2000多年历史的古老学问，它按照人们习惯性的思维模式，情绪反应和行为习惯等性格特质，将人分为九种。称为九型人格。
",http:////www.baike.com//wiki//%E4%B9%9D%E5%9E%8B%E4%BA%BA%E6%A0%BC%E5%B7%A5%E4%BD%9C%E5%9D%8A,心理学 心理测验 管理体制 ,,,,
九型人格理论,"九型人格理论，是将人格划分为九种，研究各种人格的特点以及不同人格之间差别的理论。九型人格论既简单、精确，又寓意深远。它描述了每种性格更高层面的认知，提示我们每天如何与自己的性格打交道，让我们真正认识自己、了解别人，找到那条人生中暗自牵引你的命运钥匙。
",http:////www.baike.com//wiki//%E4%B9%9D%E5%9E%8B%E4%BA%BA%E6%A0%BC%E7%90%86%E8%AE%BA,心理学 社会科学 科学 性格 ,The theory of personality,将人格划分为九种，研究各种人格的特点以及不同人格之间差别的理论,,
九点分,"《九点九分》是有点写的网络小说连载于起点中文网。小说类型:都市小说。
",http:////www.baike.com//wiki//%E4%B9%9D%E7%82%B9%E5%88%86,心理学 心理学术语 社会科学 神经学 神经科学 科学 ,,,,
习得性无助效应,"习得性无助效应最早有奥弗米尔和西里格曼发现，后来在动物[生物学名词]和人类研究中被广泛探讨。
",http:////www.baike.com//wiki//%E4%B9%A0%E5%BE%97%E6%80%A7%E6%97%A0%E5%8A%A9%E6%95%88%E5%BA%94,心理学 社会科学 科学 ,无,,,
习得行为,"习得行为（learned behavior）是指从个体经验中获得的行为改变或特别的行为模式。与“非习得行为“相对。高等动物许多行为的改变或行为模式均在其后天经验中习得。需以本能为基础。
",http:////www.baike.com//wiki//%E4%B9%A0%E5%BE%97%E8%A1%8C%E4%B8%BA,心理学 心理学术语 神经科学 ,,,,
习性学,"习性学是研究动物在其自然环境中的习惯或行为的科学，又称为行为学。18世纪的习性学是指研究伦理的科学。1854年最早持进化论观点的法国著名生物学家若弗鲁瓦·圣·伊莱尔，首次将这个词用来指研究动物在其自然栖息地中特性的科学。
",http:////www.baike.com//wiki//%E4%B9%A0%E6%80%A7%E5%AD%A6,心理学 心理学名词 心理学术语 社会科学 神经科学 科学 学科分类 ,,,,
习服,"习服：1.犹顺服。2.犹言经常从事。
",http:////www.baike.com//wiki//%E4%B9%A0%E6%9C%8D,心理学 心理学名词 心理学术语 生理学名词 社会科学 神经科学 科学 科学名词 ,,,,
